,ActiveFires,Step,TotalDrones,TotalEmissions,AvgPayloadFactor,Cost,TotalWater
0,50,0,40,0.0,0.0,0.0,0
1,50,1,40,4.001874999999998,0.0031250000000000015,4.600500000000001,0
2,50,2,40,8.005625000000007,0.0031250000000000015,9.202562500000006,0
3,50,3,40,12.009375000000002,0.0031250000000000015,13.804625000000001,0
4,49,4,40,15.963078124999992,0.06554687499999988,18.336675000000003,10
5,48,5,40,19.95422500000001,0.06553125,22.89993343750001,20
6,45,6,40,23.845259375,0.19035937499999991,27.32315656250002,50
7,44,7,40,27.911256249999994,0.06546874999999988,31.94881125000002,60
8,44,8,40,31.952356250000033,0.003031250000000002,36.582030625,60
9,44,9,40,35.95599375000002,0.003031250000000002,41.184031250000025,60
10,43,10,40,39.90958437500003,0.06545312499999988,45.71601937500003,70
11,42,11,40,43.90061875000003,0.06543749999999994,50.27921593750005,80
12,42,12,40,47.941681250000045,0.003000000000000002,54.91241468750003,80
13,42,13,40,51.84518750000004,0.06542187499999988,59.374369687500064,90
14,41,14,40,55.836184375000016,0.06540624999999997,63.93754562500004,100
15,41,15,40,59.82716250000001,0.06539062499999992,68.50071125000005,110
16,39,16,40,63.768075,0.12779687499999992,72.99385406250005,130
17,38,17,40,67.796459375,0.06534374999999991,77.58820750000004,140
18,35,18,40,71.68726875000009,0.19017187500000005,82.01130687500003,170
19,35,19,40,75.80308750000007,0.0028593750000000017,86.70685031250001,170
20,34,20,40,79.70642500000004,0.12770312499999997,91.16871250000003,190
21,33,21,40,83.73470625000006,0.04964062500000001,95.76300656250001,200
22,34,22,40,87.76617812500004,0.0028125000000000016,100.388276875,200
23,32,23,40,91.66945937500005,0.12765624999999997,104.850108125,220
24,30,24,40,95.64763750000004,0.112015625,109.37435875000001,240
25,29,25,40,99.66645937500004,0.0495625,113.96079656249998,250
26,27,26,40,103.59775312500007,0.11196875000000003,118.44599281249998,270
27,26,27,40,107.61651875000008,0.049515624999999994,123.03239968749998,280
28,25,28,40,111.59780312500006,0.0495,127.58757749999998,290
29,23,29,40,115.52903125000006,0.09629687499999993,132.07273499999997,310
30,23,30,40,119.53834687500006,0.06506249999999997,136.65129343749996,320
31,22,31,40,123.52893125000016,0.033828125,141.21423718749998,330
32,22,32,40,127.55079375000015,0.0026093750000000015,145.83156874999997,330
33,21,33,40,131.50387812500014,0.06503125,150.36327843749993,340
34,22,34,40,135.54445312500013,0.0025937500000000014,154.99620906249996,340
35,21,35,40,139.49752812500014,0.04940625,159.52791093749988,350
36,19,36,40,143.4286437500001,0.09620312499999996,164.01300656249998,370
37,19,37,40,147.48789375000015,0.0025468750000000014,168.66151562499996,370
38,17,38,40,151.39087500000016,0.09617187499999995,173.12317656249996,390
39,17,39,40,155.40004062500014,0.06493749999999998,177.7016524999999,400
40,14,40,40,159.29038125000017,0.15854687499999998,182.12448874999998,430
41,14,41,40,163.38698125000016,0.0024531250000000013,186.8041546874999,430
42,14,42,40,167.38992500000015,0.0024531250000000013,191.40577374999995,430
43,14,43,40,171.3928687500001,0.0024531250000000013,196.00739281249994,430
44,14,44,40,188.35248437500013,0.0024531250000000013,219.2666475,430
45,14,45,40,219.30287187500016,0.0024531250000000013,262.6684615625,430
46,14,46,40,223.3058156250002,0.0024531250000000013,267.27008062500005,430
47,14,47,40,255.5732000000002,0.0024531250000000013,312.61497893750004,430
48,14,48,40,288.1386625000003,0.0024531250000000013,358.33606262500024,430
49,14,49,40,306.7229750000003,0.0024531250000000013,383.92837106250005,430
50,14,50,40,384.97865937500023,0.0024531250000000013,495.4161558750002,430
51,14,51,40,449.62746875000045,0.06487499999999999,587.3144681875002,440
52,15,52,40,500.6337906250004,0.0024375000000000013,659.5977638125003,440
53,15,53,40,552.1676843750005,0.0024375000000000013,732.6093533125004,440
54,15,54,40,653.1507312500004,0.0024375000000000013,876.8373130625005,440
