,ActiveFires,Step,TotalDrones,TotalEmissions,AvgPayloadFactor,Cost,TotalWater
0,50,0,40,0.0,0.0,0.0,0
1,50,1,40,4.001874999999998,0.0031250000000000015,4.600500000000001,0
2,50,2,40,8.355734375000008,0.0031250000000000015,9.757174375000007,0
3,50,3,40,12.359484375000003,0.0031250000000000015,14.359236875000002,0
4,50,4,40,16.913499999999992,0.0031250000000000015,19.803335625000006,0
5,47,5,40,20.76710937500001,0.19039062499999987,24.195360625000013,30
6,46,6,40,25.383409375000003,0.06549999999999997,29.663072187500028,40
7,46,7,40,29.424546875,0.003062500000000002,34.29631218750002,40
8,44,8,40,33.87840312500003,0.112296875,39.60034718750001,60
9,43,9,40,37.89755312500002,0.06545312499999997,44.18696812500003,70
10,43,10,40,42.48890000000004,0.003015625000000002,49.66221343750003,70
11,43,11,40,46.49251875000003,0.003015625000000002,54.264203750000036,70
12,42,12,40,54.29798125000004,0.06543749999999991,64.43306093750004,80
13,40,13,40,61.89077812500006,0.12784374999999998,74.22211468750008,100
14,40,14,40,67.01975000000003,0.065390625,80.50057156250008,110
15,40,15,40,71.61102187500002,0.0029531250000000018,85.97577562500007,110
16,40,16,40,76.81502187500004,0.12782812499999993,92.12787718750009,120
17,40,17,40,81.44375625000004,0.0029531250000000018,97.63430000000008,120
18,38,18,40,86.4477375000001,0.12779687499999998,103.78029656250008,140
19,38,19,40,91.07643437500006,0.0029218750000000017,109.28669875000008,140
20,38,20,40,96.13042500000009,0.0653437499999999,115.50268718750007,150
21,37,21,40,100.67159375000007,0.06532812499999989,120.90784781250008,160
22,35,22,40,105.71298125000004,0.096515625,127.08502687500007,180
23,35,23,40,110.27283437500006,0.049671875000000004,132.50576843750008,190
24,36,24,40,115.40487500000005,0.0028437500000000017,138.8151318750001,190
25,35,25,40,119.90850625000003,0.06526562499999991,144.1890325000001,200
26,35,26,40,124.99985625000002,0.04964062500000001,150.4361803125001,210
27,35,27,40,129.58159375000005,0.0028125000000000016,155.90348687500008,210
28,35,28,40,142.83967187500008,0.0028125000000000016,173.95066125000008,210
29,34,29,40,147.34329375000007,0.018406250000000002,179.3245487500001,220
30,33,30,40,152.9567656250001,0.06521874999999991,186.39029562500016,230
31,33,31,40,157.5478312500002,0.0027812500000000016,191.86538625000003,230
32,33,32,40,163.15192812500013,0.04959375000000002,198.92332062500014,240
33,32,33,40,167.68357187500015,0.049578125000000015,204.32058625000008,250
34,32,34,40,173.36576562500014,0.0027500000000000016,211.47192406250005,250
35,31,35,40,188.24862187500023,0.06517187499999996,231.80233531250008,260
36,31,36,40,193.89011562500016,0.0651562499999999,238.89145500000012,270
37,30,37,40,198.43105937500016,0.06514062499999994,244.29649187500007,280
38,30,38,40,204.07251562500014,0.06512499999999996,251.38559093750007,290
39,30,39,40,208.66346875000013,0.0026875000000000015,256.8606196875,290
40,28,40,40,213.66714062500012,0.11192187500000006,263.00644343750014,310
41,28,41,40,229.91613125000015,0.0026562500000000015,285.20550325000005,310
42,28,42,40,274.64779687500027,0.0026562500000000015,348.6562688750002,310
43,28,43,40,304.8554437500002,0.0026562500000000015,391.0431462500001,310
44,28,44,40,324.69044062500024,0.0026562500000000015,418.6904736250003,310
45,28,45,40,342.62527187500007,0.0026562500000000015,443.4017548750002,310
46,28,46,40,349.3796812500002,0.0026562500000000015,452.21351475000034,310
47,26,47,40,382.72008125000013,0.11189062499999998,499.1545681250003,330
48,26,48,40,460.6735156250004,0.0026250000000000015,610.3759931875004,330
49,26,49,40,480.358521875,0.0026250000000000015,637.6524028125004,330
50,26,50,40,532.0601937500003,0.0026250000000000015,711.2158621875002,330
51,27,51,40,597.3948312500003,0.0026250000000000015,804.2007176875005,330
52,27,52,40,680.9388125000004,0.0026250000000000015,923.541610062501,330
53,27,53,40,703.6753093750002,0.080734375,954.1810808125011,330
54,27,54,40,726.9851375000004,0.0026875000000000015,986.8418876250005,330
55,27,55,40,748.8974437500003,0.0026875000000000015,1017.3684993750009,330
56,27,56,40,806.7695187500003,0.0026875000000000015,1099.8444460000007,330
57,25,57,40,812.3233781250001,0.06509374999999999,1106.832139000001,350
58,25,58,40,837.374640625,0.0026562500000000015,1142.0511670000012,350
59,25,59,40,843.0285187500004,0.0026562500000000015,1149.1788543750008,350
60,25,60,40,850.3332468750001,0.0026562500000000015,1158.8327377500013,350
61,24,61,40,855.9371062499997,0.018249999999999995,1165.890420125001,360
62,24,62,40,863.2011437499999,0.049453125,1175.482087875001,370
63,23,63,40,868.8330343750001,0.06504687499999993,1182.563156187501,380
64,23,64,40,876.1751687499998,0.0026093750000000015,1192.2482273750006,380
65,24,65,40,881.8289906249998,0.0026093750000000015,1199.3758838125011,380
66,23,66,40,889.8336156249995,0.12753125,1208.9141237500012,390
67,23,67,40,895.5624187499999,0.0026562500000000015,1216.104248625001,390
68,23,68,40,902.8671468749999,0.0026562500000000015,1225.7581320000013,390
69,22,69,40,908.4709781249992,0.06507812499999995,1232.815806875001,400
70,22,70,40,915.8131499999996,0.0026406250000000015,1242.500898687501,400
71,21,71,40,921.4169624999996,0.0650625,1249.5585632500015,410
72,21,72,40,928.7591156249996,0.0026250000000000015,1259.2436447500013,410
73,20,73,40,934.3629187499995,0.0494375,1266.301301500001,420
74,21,74,40,941.6956874999992,0.0026093750000000015,1275.9785680000014,420
75,21,75,40,947.2994812499995,0.03381250000000001,1283.0362169375014,430
76,21,76,40,954.6228656249995,0.0025937500000000014,1292.7056684375011,430
77,20,77,40,960.2266499999992,0.018187499999999995,1299.7633095625013,440
