,ActiveFires,Step,TotalDrones,TotalEmissions,AvgPayloadFactor,Cost,TotalWater
0,50,0,40,0.0,0.0,0.0,0
1,50,1,40,4.001874999999998,0.0031250000000000015,4.600500000000001,0
2,50,2,40,8.005625000000007,0.0031250000000000015,9.202562500000006,0
3,50,3,40,12.009375000000002,0.0031250000000000015,13.804625000000001,0
4,50,4,40,16.01312499999999,0.0031250000000000015,18.406687500000004,0
5,49,5,40,19.966828125000013,0.06554687499999995,22.93873750000001,10
6,49,6,40,24.008021875,0.003109375000000002,27.572008437500024,10
7,49,7,40,27.96170624999999,0.003109375000000002,32.10404812500002,10
8,47,8,40,31.865343750000033,0.12795312499999986,36.5660753125,30
9,46,9,40,35.89391562500001,0.0654999999999999,41.160531875000025,40
10,43,10,40,39.78491250000003,0.1903281249999999,45.583734375000034,70
11,41,11,40,43.800825000000025,0.12785937499999991,50.13935593750003,90
12,41,12,40,47.87933125000005,0.002984375000000002,54.80376312500003,90
13,40,13,40,51.83286562500003,0.06540624999999987,59.33572031250006,100
14,40,14,40,55.873890625000016,0.0029687500000000018,63.96889843750005,100
15,39,15,40,59.82740625000001,0.06539062499999994,68.50084531250005,110
16,39,16,40,63.818365625000006,0.0653749999999999,73.06400062500003,120
17,38,17,40,77.63884687500004,0.06535937499999997,91.84606462500007,130
18,39,18,40,81.6798156250001,0.0029218750000000017,96.47921181250004,130
19,38,19,40,85.63328437500006,0.049734375000000004,101.01113025000005,140
20,38,20,40,89.66486875000008,0.0029062500000000017,105.63646243750003,140
21,37,21,40,93.61830937500007,0.06532812499999992,110.16836806250002,150
22,35,22,40,97.55914687500007,0.12773437499999998,114.66146962500004,170
23,35,23,40,101.63750312500004,0.0028593750000000017,119.32579431250002,170
24,33,24,40,105.49080312500004,0.17451562499999998,123.71764650000003,200
25,29,25,40,109.39703125000003,0.22128125,128.1253093125,240
26,30,26,40,113.53145000000005,0.0027500000000000016,132.83638993750003,240
27,29,27,40,117.48472187500003,0.03395312500000001,137.36819743750002,250
28,30,28,40,121.50673437500005,0.0027343750000000016,141.98561150000006,250
29,30,29,40,125.45997812500003,0.04954687500000001,146.5174061875,260
30,30,30,40,129.44129062500005,0.06514062499999998,151.07260212500003,270
31,30,31,40,133.48199687500016,0.0027031250000000015,155.70560493749997,270
32,27,32,40,137.33510937500014,0.17435937500000007,160.09735400000005,300
33,26,33,40,141.39128125000013,0.049468750000000006,164.71494868749994,310
34,27,34,40,145.4225468750001,0.0026406250000000015,169.34010556250004,310
35,26,35,40,149.3756687500002,0.06506249999999998,173.871835875,320
36,22,36,40,153.21611250000012,0.22109375000000003,178.22474212499998,360
37,22,37,40,157.35030625000013,0.0025625000000000014,182.93569900000003,360
38,20,38,40,161.2533062500001,0.09618749999999997,187.39737025000002,380
39,19,39,40,165.2624906250001,0.06495312499999996,191.97585649999988,390
40,18,40,40,169.2529437500002,0.033718750000000006,196.53872806250007,400
41,18,41,40,173.27467500000012,0.0025000000000000014,201.15598743749993,400
42,18,42,40,177.4276375000002,0.08056249999999995,205.6937274375,400
43,18,43,40,181.82745625000013,0.08059374999999995,210.27660368749991,400
44,19,44,40,199.05159375000022,0.0025468750000000014,233.88736843750004,400
45,19,45,40,230.0028750000001,0.0025468750000000014,277.29036625,400
46,19,46,40,247.5629156250003,0.0025468750000000014,301.41173156250005,400
47,19,47,40,265.5474656250002,0.0025468750000000014,326.142681375,400
48,20,48,40,269.5505218750003,0.0025468750000000014,330.74436231250013,400
49,20,49,40,317.04960312500026,0.0025468750000000014,397.9618886250003,400
50,20,50,40,365.5732875000002,0.0025468750000000014,466.65073406250013,400
51,22,51,40,445.5772062500006,0.0025468750000000014,580.6488508750003,400
52,22,52,40,464.93818437500045,0.0025468750000000014,607.3563624375004,400
53,22,53,40,579.5710281250005,0.0025468750000000014,771.1853032500006,400
54,22,54,40,631.5724531250004,0.0025468750000000014,844.8681951875005,400
