,ActiveFires,Step,TotalDrones,TotalEmissions,AvgPayloadFactor,Cost,TotalWater
0,50,0,40,0.0,0.0,0.0,0
1,50,1,40,4.001874999999998,0.0031250000000000015,4.600500000000001,0
2,50,2,40,8.005625000000007,0.0031250000000000015,9.202562500000006,0
3,49,3,40,12.609593750000004,0.06554687499999998,14.720248750000001,10
4,49,4,40,16.650787499999996,0.003109375000000002,19.353519687500008,10
5,48,5,40,20.604471875000016,0.06553125,23.88555937500001,20
6,48,6,40,24.645646875,0.003093750000000002,28.518820000000026,20
7,48,7,40,28.649359374999996,0.003093750000000002,33.12086187500002,20
8,48,8,40,32.65307187500004,0.003093750000000002,37.72290374999999,20
9,48,9,40,36.656784375000015,0.003093750000000002,42.32494562500003,20
10,46,10,40,40.56040312500003,0.12793749999999987,46.78696250000003,40
11,46,11,40,44.58895625000003,0.06548437499999987,51.38140875000004,50
12,45,12,40,48.580028125000055,0.06546874999999984,55.944625937500035,60
13,46,13,40,52.62112812500005,0.003031250000000002,60.57784531250007,60
14,46,14,40,56.574728125000036,0.049843750000000006,65.10983593750007,70
15,42,15,40,60.406256250000006,0.2527031249999999,69.45519031250005,110
16,43,16,40,64.50960312500003,0.06537499999999999,74.11200187500005,120
17,39,17,40,68.350403125,0.25262500000000004,78.46510937500004,160
18,40,18,40,72.40360937500007,0.0652968749999999,83.05185687500006,170
19,39,19,40,76.29438125000009,0.15890625000000003,87.47493031250002,200
20,38,20,40,80.34136562500007,0.06523437499999993,92.08482093750003,210
21,37,21,40,84.33214687500003,0.049609375000000004,96.64787562500003,220
22,36,22,40,88.26348750000005,0.06520312499999989,101.1331003125,230
23,37,23,40,92.30426875000008,0.0027656250000000016,105.766144375,230
24,34,24,40,96.15746562500004,0.15881249999999997,110.15793718749998,260
25,32,25,40,107.40799375000006,0.12756249999999997,125.16592593750003,280
26,32,26,40,111.43610625000005,0.0495,129.76012718750002,290
27,30,27,40,115.36733437500013,0.096296875,134.2452846875,310
28,30,28,40,119.42669687500006,0.0026406250000000015,138.893855625,310
29,31,29,40,123.42986562500006,0.0026406250000000015,143.49559843749995,310
30,29,30,40,127.33295000000008,0.11187500000000003,147.95731874999998,330
31,29,31,40,131.40164062500017,0.0026093750000000015,152.61367375,330
32,28,32,40,135.3547343750001,0.049421875000000004,157.1453859375,340
33,25,33,40,139.23580312500013,0.189859375,161.56047437499996,370
34,24,34,40,143.30120000000014,0.06496874999999995,166.18579906249994,380
35,23,35,40,147.29166250000014,0.049343750000000006,170.7486784375,390
36,21,36,40,151.22270312500012,0.09614062500000001,175.2337328125,410
37,21,37,40,155.28187812500013,0.0024843750000000013,179.88220062499997,410
38,21,38,40,159.2348218750001,0.04929687500000002,184.4138303125,420
39,20,39,40,163.21585312500014,0.03367187500000001,188.96886624999996,430
40,21,40,40,167.23752812500013,0.0024531250000000013,193.58609468749998,430
41,20,41,40,171.19042500000015,0.06487499999999996,198.11770124999998,440
42,20,42,40,187.5871718750001,0.0024375000000000013,220.54611562500006,440
43,20,43,40,191.59009687500003,0.0024375000000000013,225.147724375,440
44,19,44,40,234.81674687500023,0.06485937499999998,286.23197762500007,450
45,19,45,40,252.23789062500018,0.0024218750000000013,310.1314315625002,450
46,19,46,40,269.9647000000001,0.04923437500000001,334.4942316250002,460
47,19,47,40,329.89009687500015,0.0024062500000000013,419.5909855625001,460
48,19,48,40,405.5467937500004,0.0024062500000000013,527.3466303125005,460
49,19,49,40,468.1540906250004,0.0024062500000000013,616.3114928125007,460
50,19,50,40,532.0786656250003,0.0024062500000000013,707.2198434375008,460
51,19,51,40,551.6894781250004,0.0024062500000000013,734.3380995625006,460
52,19,52,40,587.6327812500006,0.0024062500000000013,785.0135328125006,460
53,20,53,40,591.6356687500004,0.0024062500000000013,789.6151209375006,460
54,20,54,40,628.4461625000005,0.0024062500000000013,841.4839631875005,460
