,ActiveFires,Step,TotalDrones,TotalPlanes,TotalEmissions,DroneEmissions,PlaneEmissions,Cost,DroneCost,PlaneCost,TotalCoverage,TotalWater
0,50,0,0,6,0.0,0,0.0,0.0,0,0.0,0.0,0
1,50,1,0,6,7.295302,0,7.295302,26.53,0,26.53,1.6e-05,0
2,50,2,0,6,13.950395666666667,0,13.950395666666667,50.35166666666667,0,50.35166666666667,3.2e-05,0
3,49,3,0,6,1685.9494060000002,0,1685.9494060000002,489.48999999999995,0,489.48999999999995,4.8e-05,8328
4,49,4,0,6,1693.210930687198,0,1693.210930687198,516.0062604487462,0,516.0062604487462,6.4e-05,8328
5,49,5,0,6,1700.4724553743947,0,1700.4724553743947,542.5225208974924,0,542.5225208974924,8e-05,8328
6,47,6,0,6,5037.141396728261,0,5037.141396728261,1394.2554480129052,0,1394.2554480129052,9.6e-05,24984
7,47,7,0,6,5044.207325123186,0,5044.207325123186,1420.2025626924772,0,1420.2025626924772,0.000112,24984
8,45,8,0,6,8379.400253518112,0,8379.400253518112,2265.9496773720493,0,2265.9496773720493,0.000128,41640
9,43,9,0,6,11715.165835620764,0,11715.165835620764,3114.377646282447,0,3114.377646282447,0.000144,58296
10,42,10,0,6,13385.77602976448,0,13385.77602976448,3548.5448027570037,0,3548.5448027570037,0.00016,66624
11,38,11,0,6,18691.35986326206,0,18691.35986326206,4884.314886346973,0,4884.314886346973,0.00017599999999999997,93136
12,36,12,0,6,19307.68483411351,0,19307.68483411351,5055.907897052355,0,5055.907897052355,0.000192,96192
13,36,13,0,6,19314.205868549492,0,19314.205868549492,5080.654199296086,0,5080.654199296086,0.000208,96192
14,35,14,0,6,20984.662361318813,0,20984.662361318813,5514.75883487315,0,5514.75883487315,0.00022133333333333334,104520
15,34,15,0,6,21386.261160108665,0,21386.261160108665,5628.117064232293,0,5628.117064232293,0.00023466666666666666,106048
16,35,16,0,6,21483.157428390787,0,21483.157428390787,5668.867439360612,0,5668.867439360612,0.00024799999999999996,106048
17,35,17,0,6,21580.06107187291,0,21580.06107187291,5709.62081448893,0,5709.62081448893,0.0002613333333333333,106048
18,35,18,0,6,21676.97209055503,0,21676.97209055503,5750.3771896172475,0,5750.3771896172475,0.0002746666666666667,106048
19,35,19,0,6,21773.122234437153,0,21773.122234437153,5787.886564745565,0,5787.886564745565,0.000288,106048
20,35,20,0,6,21868.511503519276,0,21868.511503519276,5822.148939873883,0,5822.148939873883,0.00029866666666666664,106048
21,34,21,0,6,22360.172064468068,0,22360.172064468068,5949.914981668869,0,5949.914981668869,0.0003093333333333333,107576
22,34,22,0,6,22547.137470109126,0,22547.137470109126,6005.076169233027,0,6005.076169233027,0.00031999999999999997,107576
23,34,23,0,6,22734.117626150186,0,22734.117626150186,6060.243356797185,0,6060.243356797185,0.00033066666666666666,107576
24,34,24,0,6,22921.11253259125,0,22921.11253259125,6115.416544361344,0,6115.416544361344,0.0003413333333333333,107576
25,35,25,0,6,23018.09848109898,0,23018.09848109898,6156.20339859217,0,6156.20339859217,0.0003546666666666667,107576
26,36,26,0,6,23114.707679806706,0,23114.707679806706,6195.368252822996,0,6195.368252822996,0.000368,107576
27,35,27,0,6,23515.003628714432,0,23515.003628714432,6302.811107053822,0,6302.811107053822,0.0003786666666666667,109104
28,35,28,0,6,23701.2609637811,0,23701.2609637811,6354.74677372049,0,6354.74677372049,0.00038666666666666667,109104
29,35,29,0,6,23888.301299247767,0,23888.301299247767,6409.938440387155,0,6409.938440387155,0.0003973333333333333,109104
30,37,30,0,6,24075.356385114435,0,24075.356385114435,6465.136107053821,0,6465.136107053821,0.000408,109104
31,37,31,0,6,24172.402513047764,0,24172.402513047764,6505.947440387156,0,6505.947440387156,0.0004213333333333333,109104
32,38,32,0,6,24268.94384951443,0,24268.94384951443,6544.595107053823,0,6544.595107053823,0.0004346666666666666,109104
33,37,33,0,6,26030.45235284777,0,26030.45235284777,6996.937440387156,0,6996.937440387156,0.00044800000000000005,117432
34,36,34,0,6,27792.190537401628,0,27792.190537401628,7450.352367502569,0,7450.352367502569,0.0004613333333333334,125760
35,36,35,0,6,27888.942528176023,0,27888.942528176023,7490.06488840006,0,7490.06488840006,0.00047466666666666664,125760
36,36,36,0,6,29650.661685817086,0,29650.661685817086,7943.4720759642205,0,7943.4720759642205,0.000488,134088
37,36,37,0,6,29747.522691345348,0,29747.522691345348,7983.718523977125,0,7983.718523977125,0.0005013333333333333,134088
38,35,38,0,6,31418.81498874027,0,31418.81498874027,8421.100638656697,0,8421.100638656697,0.0005173333333333333,142416
39,36,39,0,6,31424.857633822397,0,31424.857633822397,8443.694013785016,0,8443.694013785016,0.0005306666666666667,142416
40,35,40,0,6,33186.52398723786,0,33186.52398723786,8897.079722246666,0,8897.079722246666,0.000544,150744
41,35,41,0,6,33283.46023020718,0,33283.46023020718,8937.84635782373,0,8937.84635782373,0.0005573333333333333,150744
42,36,42,0,6,33379.763640043166,0,33379.763640043166,8975.90766006746,0,8975.90766006746,0.0005706666666666667,150744
43,35,43,0,6,33780.650091745825,0,33780.650091745825,9086.038628977858,0,9086.038628977858,0.000584,152272
