,ActiveFires,Step,TotalDrones,TotalPlanes,TotalEmissions,DroneEmissions,PlaneEmissions,Cost,DroneCost,PlaneCost,TotalCoverage,TotalWater
0,50,0,0,6,0.0,0,0.0,0.0,0,0.0,0.0,0
1,50,1,0,6,7.295302,0,7.295302,26.53,0,26.53,1.6e-05,0
2,50,2,0,6,14.590604,0,14.590604,53.06,0,53.06,3.2e-05,0
3,50,3,0,6,21.62982266666667,0,21.62982266666667,78.50666666666667,0,78.50666666666667,4.8e-05,0
4,49,4,0,6,1693.1166663333336,0,1693.1166663333336,515.4783333333335,0,515.4783333333335,6.4e-05,8328
5,47,5,0,6,5029.7856076871985,0,5029.7856076871985,1367.2112604487463,0,1367.2112604487463,8e-05,24984
6,47,6,0,6,5036.211327748791,0,5036.211327748791,1390.4500417949848,0,1390.4500417949848,9.6e-05,24984
7,45,7,0,6,8372.044464477049,0,8372.044464477049,2238.9054898078903,0,2238.9054898078903,0.000112,41640
8,43,8,0,6,11708.578296579704,0,11708.578296579704,3090.5834587182876,0,3090.5834587182876,0.000128,58296
9,43,9,0,6,11714.74086572342,0,11714.74086572342,3113.225615192844,0,3113.225615192844,0.000144,58296
10,42,10,0,6,13690.566934867133,0,13690.566934867133,3622.1677716674008,0,3622.1677716674008,0.00016,68152
11,42,11,0,6,14001.905404323654,0,14001.905404323654,3719.5686676932114,0,3719.5686676932114,0.00017599999999999997,69680
12,42,12,0,6,14313.621801405778,0,14313.621801405778,3818.592042821529,0,3818.592042821529,0.000192,71208
13,44,13,0,6,14319.86004278017,0,14319.86004278017,3841.7545637190215,0,3841.7545637190215,0.000208,71208
14,43,14,0,6,15991.570242487902,0,15991.570242487902,4280.775417949847,0,4280.775417949847,0.000224,79536
15,43,15,0,6,15998.286873216157,0,15998.286873216157,4306.090865962753,0,4306.090865962753,0.00024,79536
16,42,16,0,6,16309.963295611082,0,16309.963295611082,4405.097980642325,0,4405.097980642325,0.000256,81064
17,43,17,0,6,16316.92981229828,0,16316.92981229828,4431.49424109107,0,4431.49424109107,0.00027200000000000005,81064
18,43,18,0,6,16323.896328985476,0,16323.896328985476,4457.890501539816,0,4457.890501539816,0.000288,81064
19,43,19,0,6,16330.478720672674,0,16330.478720672674,4482.661761988563,0,4482.661761988563,0.000304,81064
20,43,20,0,6,18001.25265402654,0,18001.25265402654,4917.8746891039755,0,4917.8746891039755,0.00031733333333333337,89392
21,42,21,0,6,18402.9128100676,0,18402.9128100676,5031.2578766681345,0,5031.2578766681345,0.00033066666666666666,90920
22,42,22,0,6,18499.87043560093,0,18499.87043560093,5072.0332100014675,0,5072.0332100014675,0.00034399999999999996,90920
23,42,23,0,6,18596.195228000932,0,18596.195228000932,5110.103210001467,0,5110.103210001467,0.00035733333333333336,90920
24,42,24,0,6,18692.143270600933,0,18692.143270600933,5146.551210001468,0,5146.551210001468,0.000368,90920
25,42,25,0,6,20543.210230067594,0,20543.210230067594,5611.627876668134,0,5611.627876668134,0.0003786666666666667,99248
26,42,26,0,6,20729.42641262146,0,20729.42641262146,5663.546803783546,0,5663.546803783546,0.00038666666666666667,99248
27,42,27,0,6,20916.425595575325,0,20916.425595575325,5718.72173089896,0,5718.72173089896,0.0003973333333333333,99248
28,43,28,0,6,21103.311487262523,0,21103.311487262523,5773.360991347707,0,5773.360991347707,0.000408,99248
29,42,29,0,6,22955.04387934972,0,22955.04387934972,6241.156251796452,0,6241.156251796452,0.00041866666666666663,107576
30,42,30,0,6,23142.05353619078,0,23142.05353619078,6296.3354393606105,0,6296.3354393606105,0.00042933333333333327,107576
31,43,31,0,6,23238.542068431838,0,23238.542068431838,6334.961626924771,0,6334.961626924771,0.0004426666666666667,107576
32,43,32,0,6,25000.2538508729,0,25000.2538508729,6788.36581448893,0,6788.36581448893,0.00045599999999999997,115904
33,43,33,0,6,25096.595314534494,0,25096.595314534494,6826.442595835168,0,6826.442595835168,0.0004693333333333333,115904
34,42,34,0,6,26858.28807006275,0,26858.28807006275,7279.839043848072,0,7279.839043848072,0.00048266666666666667,124232
35,42,35,0,6,26864.97092347821,0,26864.97092347821,7305.140752309724,0,7305.140752309724,0.0004986666666666667,124232
36,41,36,0,6,27176.613568560337,0,27176.613568560337,7404.134127438043,0,7404.134127438043,0.0005146666666666666,125760
37,41,37,0,6,27183.162182934728,0,27183.162182934728,7428.891648335535,0,7428.891648335535,0.0005306666666666667,125760
38,40,38,0,6,28854.286463975786,0,28854.286463975786,7865.715835899693,0,7865.715835899693,0.0005466666666666668,134088
39,40,39,0,6,29165.889134370715,0,29165.889134370715,7964.692950579265,0,7964.692950579265,0.0005626666666666667,135616
40,40,40,0,6,29172.781899057914,0,29172.781899057914,7991.059211028011,0,7991.059211028011,0.0005786666666666667,135616
41,40,41,0,6,29179.034455411773,0,29179.034455411773,8014.717138143423,0,8014.717138143423,0.0005946666666666666,135616
42,40,42,0,6,29184.646803432304,0,29184.646803432304,8035.666731925503,0,8035.666731925503,0.0006053333333333333,135616
43,40,43,0,6,29279.386568119502,0,29279.386568119502,8067.216992374249,0,8067.216992374249,0.0006133333333333334,135616
