,ActiveFires,Step,TotalDrones,TotalPlanes,TotalEmissions,DroneEmissions,PlaneEmissions,Cost,DroneCost,PlaneCost,TotalCoverage,TotalWater
0,50,0,30,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1,50,1,30,4,7.864940916666666,3.0014062499999996,4.863534666666667,21.13704166666667,3.450375000000002,17.686666666666667,1.6e-05,0
2,50,2,30,4,15.475204750000005,6.004218750000004,9.470986,41.191921875000006,6.901921875000004,34.29,3.2e-05,0
3,49,3,30,4,1687.405051916667,9.007031249999997,1678.398020666667,472.23013541666666,10.353468750000001,461.87666666666667,4.800000000000003e-05,8328
4,47,4,30,4,3359.8912832288643,11.959796874999995,3347.931486353865,905.8929302404129,13.735003124999997,892.1579271154129,6.352941176470588e-05,16666
5,46,5,30,4,3366.7811809782593,14.950006250000007,3351.831174728259,923.1731939504052,17.147745937499998,906.0254480129054,7.85882352941177e-05,16676
6,44,6,30,4,6704.024815185987,17.990243749999998,6686.034571435988,1769.5317931812313,20.630490937500017,1748.901302243731,9.411764705882356e-05,33332
7,44,7,30,4,6710.987765601444,20.99301875,6689.994746851444,1787.3650278928824,24.082017187500014,1763.2830107053824,0.00010964705882352944,33332
8,43,8,30,4,8382.910507683568,23.99579375000002,8358.914713933567,2218.8899292712003,27.533543437500008,2191.3563858337006,0.00012564705882352943,41660
9,39,9,30,4,10359.147003702888,26.89847500000002,10332.248528702889,2721.7860660982647,30.8450446875,2690.9410214107647,0.00014023529411764707,51536
10,38,10,30,4,12031.583047951679,29.97613750000001,12001.606910451677,3155.510051018249,34.358987812500004,3121.1510632057493,0.00015576470588235303,59864
11,39,11,30,4,12039.156634679332,32.928828125,12006.22780655433,3176.4795130536468,37.74048093750002,3138.739032116147,0.00017082352941176466,59874
12,38,12,30,4,12046.25549849032,35.91896250000004,12010.336535990318,3195.313516859878,41.153182500000014,3154.1603343598777,0.00018635294117647064,59884
13,34,13,30,4,12357.957958134639,38.80898437500003,12319.14897375964,3286.6158186869416,44.42584875000004,3242.1899699369415,0.0002009411764705882,61442
14,31,14,30,4,14030.291312071231,41.823931250000015,13988.46738082123,3720.21468784568,47.83093656250003,3672.38375128318,0.00021600000000000005,69790
15,30,15,30,4,14037.790286611687,44.74198437500001,13993.048302236688,3741.0824325573317,51.12697281250004,3689.9554597448314,0.0002305882352941176,69810
