,ActiveFires,Step,TotalDrones,TotalPlanes,TotalEmissions,DroneEmissions,PlaneEmissions,Cost,DroneCost,PlaneCost,TotalCoverage,TotalWater
0,50,0,30,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1,50,1,30,4,7.608857583333333,3.0014062499999996,4.607451333333334,20.053708333333336,3.450375000000002,16.60333333333333,1.6e-05,0
2,49,2,30,4,1680.1789130833333,6.004218750000004,1674.1746943333333,453.8002552083334,6.901921875000004,446.8983333333334,3.2e-05,8328
3,49,3,30,4,1686.6030246038642,9.007031249999997,1677.5959933538643,468.96639586541284,10.353468750000001,458.61292711541284,4.800000000000003e-05,8328
4,47,4,30,4,5022.562594457729,12.009843749999995,5010.552750707729,1309.890869855826,13.805015624999996,1296.0858542308258,6.352941176470588e-05,24984
5,46,5,30,4,6695.031318019322,15.012656250000008,6680.018661769321,1743.5961980770644,17.256562499999998,1726.3396355770644,7.905882352941182e-05,33312
6,46,6,30,4,6702.762555934778,18.01546875,6684.747087184778,1764.6794534137157,20.708109375000017,1743.9713440387156,9.505882352941182e-05,33312
7,45,7,30,4,6709.419413641901,20.968234375000005,6688.451179266901,1781.3593629170339,24.089643750000015,1757.2697191670338,0.00011058823529411768,33322
8,43,8,30,4,10046.595511974023,24.00849062500002,10022.587021349023,2627.690493357852,27.572399062500008,2600.118094295352,0.00012611764705882354,49978
9,41,9,30,4,10054.159082763876,26.91119062500002,10027.247892138876,2648.6062342794958,30.883910625000002,2617.7223236544955,0.00014070588235294117,49998
10,40,10,30,4,10060.695212928727,29.938825000000012,10030.756387928728,2664.7794045761393,34.32785156250001,2630.4515530136396,0.00015482352941176478,50008
11,38,11,30,4,12037.419575385245,32.97902500000001,12004.440550385245,3169.4580249769497,37.81057593750001,3131.6474490394494,0.00016988235294117647,59864
12,39,12,30,4,12045.0432089879,35.98176250000004,12009.0614464879,3190.497499512347,41.262081562500015,3149.2354179498466,0.00018494117647058832,59864
13,40,13,30,4,12052.666842590552,38.98450000000003,12013.682342590551,3211.5369740477445,44.713587187500046,3166.8233868602447,0.00019999999999999993,59864
14,39,14,30,4,12060.240429318206,41.93719062500002,12018.303238693206,3232.506436083142,48.095080312500045,3184.4113557706423,0.0002150588235294118,59874
15,39,15,30,4,12067.13325667086,44.97737187500001,12022.155884795862,3250.3271190560395,51.57779437500004,3198.749324681039,0.0002305882352941176,59874
16,36,16,30,4,14044.114241315181,47.930043750000024,13996.18419756518,3756.5132374456034,54.959277187500035,3701.5539602581034,0.0002456470588235294,69740
17,35,17,30,4,14051.685278355637,50.920159375000004,14000.765118980638,3777.4976371572548,58.37196843750004,3719.1256687197547,0.0002607058823529411,69750
18,33,18,30,4,14059.206249771094,53.86020937500005,14005.346040396093,3798.412014056406,61.71463687500003,3736.697377181406,0.00027576470588235296,69770
19,33,19,30,4,14066.814693061548,56.88773125000005,14009.92696181155,3819.427601580557,65.15851593750003,3754.269085643057,0.0002908235294117648,69780
20,32,20,30,4,14073.617414477005,59.87778125000005,14013.739633227005,3837.1619625422086,68.57116843750003,3768.5907941047085,0.0003063529411764707,69790
21,32,21,30,4,14080.488765059128,62.80841875000005,14017.680346309127,3855.3601676705266,71.90599843750002,3783.4541692330267,0.0003214117647058824,69800
22,32,22,30,4,14087.132119807917,65.76714375000003,14021.364976057917,3872.4984457155115,75.26423468750002,3797.2342110280115,0.000336,69800
23,32,23,30,4,14183.671141223374,68.72586875000003,14114.945272473375,3903.4873904271626,78.6224709375,3824.864919489663,0.0003505882352941177,69800
24,27,24,30,4,14585.745392005498,71.48440625000002,14514.260985755498,4011.1409518054807,81.70065718750001,3929.4402946179807,0.0003628235294117648,71368
25,25,25,30,4,14683.366981029892,74.49281250000003,14608.874168529892,4046.451517702973,85.04370218749999,3961.407815515473,0.00037599999999999987,71388
26,24,26,30,4,14780.971039004287,77.47631250000005,14703.494726504287,4081.772640475465,88.39430406249998,3993.378336412965,0.00038964705882352935,71398
27,24,27,30,4,14878.485597178682,80.36293750000007,14798.12265967868,4116.987721997957,91.63586468749999,4025.3518573104575,0.00040282352941176466,71408
28,24,28,30,4,14975.90757638641,83.27765000000007,14892.62992638641,4151.687543103783,94.90083156249999,4056.7867115412837,0.00041600000000000014,71408
29,23,29,30,4,15378.118633919137,86.14231562500005,15291.976318294139,4259.470351709609,98.09578593749998,4161.374565772108,0.0004287058823529409,72946
30,22,30,30,4,15474.768313027469,89.04442500000007,15385.723888027469,4290.884847855442,101.32194874999996,4189.562899105442,0.0004414117647058824,72956
31,21,31,30,4,15662.345348585804,91.94651562500009,15570.398832960804,4340.486333688776,104.54810124999995,4235.938232438775,0.0004541176470588236,72966
32,21,32,30,4,15849.937125169135,94.8485968750001,15755.088528294136,4390.093811709608,107.77424593749994,4282.319565772109,0.00046682352941176475,72976
33,18,33,30,4,15947.360446944138,97.5911812500001,15849.769265694136,4425.097111397108,110.78254562499997,4314.314565772109,0.0004785882352941178,73006
34,19,34,30,4,16044.934809544136,100.47743125000012,15944.457378294135,4460.251444522109,113.93887874999997,4346.312565772108,0.0004908235294117647,73006
35,18,35,30,4,16142.429047344136,103.27618125000012,16039.152866094137,4495.307548897109,116.99398312499994,4378.313565772109,0.0005025882352941176,73016
36,18,36,30,4,16239.830706177469,106.1030187500001,16133.727687427468,4529.848392855442,120.07249374999995,4409.7758991054425,0.0005143529411764707,73016
37,17,37,30,4,18002.0714902108,108.92985625000011,17893.1416339608,4977.542236813775,123.15100437499996,4854.391232438776,0.0005261176470588236,81344
38,17,38,30,4,18099.582163797997,111.75669375000012,17987.825470048,5012.617007887521,126.22951499999992,4886.387492887521,0.0005378823529411767,81344
39,16,39,30,4,18197.050165710196,114.53348437500013,18082.516681335197,5047.624766461267,129.23801312499992,4918.386753336268,0.0005491764705882352,81354
40,16,40,30,4,18294.228908447396,117.3977656250001,18176.831142822397,5081.111745972515,132.34773218749996,4948.764013785014,0.0005609411764705882,81354
41,16,41,30,4,18299.868821176256,119.12367500000013,18180.745146176258,5097.012930900427,133.88598999999988,4963.126940900427,0.0005623529411764706,81364
42,16,42,30,4,18305.29010369679,120.8870375000001,18184.40306619679,5111.861993432507,135.45545874999996,4976.406534682506,0.0005637647058823529,81364
43,15,43,30,4,20066.463136217324,122.65040000000016,19943.81273621732,5558.045055964586,137.02492749999993,5421.0201284645855,0.0005651764705882352,89692
44,15,44,30,4,20162.906058291715,124.41376250000013,20038.492295791715,5591.609045612078,138.59439624999993,5453.014649362078,0.0005665882352941177,89692
45,15,45,30,4,20259.356355566113,126.17712500000013,20133.17923056611,5625.17603525957,140.16386499999996,5485.012170259572,0.0005679999999999999,89692
46,15,46,30,4,20355.81402804051,127.94048750000012,20227.87354054051,5658.746024907063,141.73333374999993,5517.012691157063,0.0005694117647058824,89692
47,15,47,30,4,20452.279075714905,129.70385000000013,20322.575225714907,5692.319014554556,143.3028024999999,5549.016212054556,0.0005708235294117647,89692
48,15,48,30,4,20548.7514985893,131.46721250000013,20417.2842860893,5725.895004202048,144.87227124999998,5581.022732952048,0.0005722352941176469,89692
49,15,49,30,4,20645.231296663696,133.23057500000013,20512.000721663695,5759.47399384954,146.44173999999995,5613.032253849541,0.0005736470588235294,89692
50,15,50,30,4,20740.950219938095,134.9939375000001,20605.956282438092,5789.805983497034,148.0112087499999,5641.794774747033,0.0005750588235294117,89692
51,14,51,30,4,21142.148476745824,136.75730000000016,21005.39117674582,5895.999306477859,149.58067749999995,5746.418628977859,0.0005764705882352942,91220
52,14,52,30,4,21238.64420304582,138.52066250000013,21100.123540545817,5929.584775227859,151.15014624999992,5778.43462897786,0.0005778823529411764,91220
53,14,53,30,4,21245.123596212485,140.28402500000016,21104.839571212484,5948.780910644526,152.71961499999995,5796.061295644526,0.0005797647058823529,91220
54,14,54,30,4,21251.60298937915,142.04738750000013,21109.55560187915,5967.977046061192,154.2890837499999,5813.687962311192,0.0005816470588235294,91220
55,14,55,30,4,21257.314132545816,143.81075000000016,21113.503382545816,5983.923181477859,155.85855249999994,5828.064628977859,0.0005830588235294117,91220
56,14,56,30,4,21262.89723404582,145.57411250000013,21117.323121545815,5999.3276502278595,157.4280212499999,5841.89962897786,0.000584470588235294,91220
57,14,57,30,4,21359.40033554582,147.33747500000013,21212.06286054582,6032.916118977861,158.9974899999999,5873.918628977859,0.0005858823529411764,91220
58,14,58,30,4,21455.910812245816,149.10083750000007,21306.809974745815,6066.5075877278605,160.56695875,5905.94062897786,0.0005872941176470588,91220
59,14,59,30,4,21552.428664145817,150.8642000000001,21401.564464145817,6100.102056477861,162.1364274999999,5937.965628977861,0.0005887058823529412,91220
60,14,60,30,4,21648.95389124582,152.62756250000007,21496.326328745814,6133.699525227862,163.7058962499999,5969.9936289778625,0.0005901176470588234,91220
61,14,61,30,4,21745.358451879147,154.3909250000001,21590.967526879147,6166.758327311196,165.27536499999994,6001.482962311196,0.0005915294117647058,91220
62,14,62,30,4,21841.002137712483,156.15428750000007,21684.847850212485,6196.570129394529,166.84483374999994,6029.725295644529,0.0005924705882352941,91220
63,14,63,30,4,22027.573198745817,157.91765000000012,21869.655548745817,6244.568931477863,168.4143024999999,6076.154628977863,0.0005934117647058823,91220
64,14,64,30,4,22214.15901017915,159.6810125000001,22054.47799767915,6292.5737335611975,169.98377124999996,6122.589962311197,0.0005943529411764706,91220
65,15,65,30,4,22400.631530345818,161.44437500000012,22239.18715534582,6340.042868977864,171.5532399999999,6168.489628977864,0.0005952941176470589,91220
66,14,66,30,4,24251.950550912487,163.2077375000001,24088.742813412486,6800.668004394531,173.1227087499999,6627.545295644531,0.000596235294117647,99548
67,14,67,30,4,24347.754877899682,164.97110000000015,24182.783777899684,6831.034733593277,174.69217749999993,6656.342556093277,0.0005976470588235294,99548
68,13,68,30,4,26109.038538420213,166.73446250000012,25942.304075920216,7277.262796125357,176.26164624999993,7101.001149875357,0.0005990588235294117,107876
69,13,69,30,4,26205.59208849461,168.49782500000012,26037.09426349461,7310.87178577285,177.83111499999993,7133.040670772849,0.000600470588235294,107876
70,13,70,30,4,26301.896930435665,170.2611875000001,26131.635742935665,7343.400442087009,179.40058374999984,7163.999858337009,0.0006018823529411764,107876
71,12,71,30,4,26703.168939243395,172.02455000000012,26531.1443892434,7449.623765067835,180.97005249999995,7268.653712567835,0.0006032941176470587,109404
72,13,72,30,4,26799.22625087673,173.78791250000012,26625.43833837673,7481.072567151168,182.53952124999992,7298.5330459011675,0.0006047058823529411,109404
73,12,73,30,4,28470.355062710063,175.55127500000012,28294.803787710058,7912.3653692345015,184.10898999999992,7728.256379234501,0.0006065882352941176,117732
74,12,74,30,4,30140.937930563923,177.31463750000006,29963.623293063923,8341.477765099915,185.67845874999992,8155.799306349914,0.000608470588235294,126060
75,11,75,30,4,31810.97485443832,179.0780000000001,31631.896854438317,8768.409754747405,187.2479274999999,8581.161827247406,0.0006103529411764705,134388
76,9,76,30,4,35146.83408433325,180.84136250000006,34965.992721833245,9612.811338176976,188.81739624999992,9423.993941926976,0.0006122352941176469,151044
77,9,77,30,4,35153.1308429359,182.5172250000001,34970.613617935895,9631.892525837375,190.31061499999993,9441.581910837374,0.0006141176470588235,151044
78,9,78,30,4,35159.427601538555,184.19308750000008,34975.23451403856,9650.973713497771,191.8038337499999,9459.169879747773,0.0006159999999999999,151044
79,9,79,30,4,35165.724360141205,185.8689500000001,34979.85541014121,9670.054901158168,193.2970524999999,9476.757848658168,0.0006178823529411763,151044
80,9,80,30,4,35170.74070207719,187.5448125000001,34983.1958895772,9683.719422151898,194.79027124999996,9488.929150901899,0.0006192941176470587,151044
81,8,81,30,4,36931.76487734651,189.22067500000009,36742.544202346515,10129.801276478964,196.28348999999992,9933.517786478964,0.000620705882352941,159372
82,8,82,30,4,37027.6748171697,190.89653750000008,36836.7782796697,10161.639057921442,197.7767087499999,9963.862349171442,0.0006221176470588235,159372
83,7,83,30,4,37428.67996552622,192.5724000000001,37236.10756552622,10267.713172697251,199.2699274999999,10068.443245197252,0.0006235294117647058,160900
84,7,84,30,4,37524.98258337501,194.24826250000012,37330.73432087501,10301.179433242236,200.7631462499999,10100.416286992237,0.0006249411764705881,160900
85,7,85,30,4,37621.214451423795,195.8460000000001,37425.3684514238,10334.580256287221,202.18792749999994,10132.392328787222,0.0006263529411764705,160900
86,7,86,30,4,37717.297444672586,197.28748750000008,37520.00995717259,10367.847204332207,203.47583374999994,10164.371370582205,0.0006277647058823528,160900
87,8,87,30,4,37813.309688121386,198.6508500000001,37614.65883812138,10401.04871487719,204.69530249999997,10196.35341237719,0.0006291764705882351,160900
88,8,88,30,4,37908.0488901035,200.0142125000001,37708.0346776035,10428.836558755509,205.91477124999986,10222.92178750551,0.0006305882352941175,160900
89,7,89,30,4,38307.93321728563,201.2994500000001,38106.633767285624,10531.333965133826,207.06580249999993,10324.268162633827,0.0006319999999999999,162428
90,6,90,30,4,38708.50884729336,202.50656250000006,38506.00228479336,10637.013413114651,208.1483962499999,10428.865016864653,0.0006334117647058822,163956
91,6,91,30,4,38714.358238460016,203.71367500000002,38510.64456346002,10655.692673531319,209.2309899999999,10446.461683531319,0.0006352941176470588,163956
92,6,92,30,4,38720.207629626675,204.9207875000001,38515.286842126676,10674.371933947985,210.31358374999994,10464.058350197984,0.0006371764705882352,163956
93,6,93,30,4,38725.90077079334,205.97165000000007,38519.92912079334,10692.91431936465,211.25930249999993,10481.65501686465,0.0006390588235294117,163956
94,6,94,30,4,38730.697620293344,207.02251250000003,38523.675107793344,10707.665038114648,212.20502124999996,10495.460016864648,0.0006404705882352941,163956
