,ActiveFires,Step,TotalDrones,TotalPlanes,TotalEmissions,DroneEmissions,PlaneEmissions,Cost,DroneCost,PlaneCost,TotalCoverage,TotalWater
0,50,0,30,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1,50,1,30,4,7.608857583333332,3.0014062499999996,4.607451333333334,20.053708333333333,3.450375000000002,16.60333333333333,1.6e-05,0
2,49,2,30,4,1680.1789130833333,6.004218750000004,1674.1746943333335,453.8002552083334,6.901921875000004,446.8983333333333,3.2e-05,8328
3,49,3,30,4,1688.0114829371976,9.007031249999997,1679.0044516871976,474.9247291987462,10.353468750000001,464.5712604487462,4.800000000000003e-05,8328
4,48,4,30,4,1694.2575059160617,11.959796874999995,1682.2977090410618,489.47919068915905,13.735003124999997,475.74418756415906,6.352941176470588e-05,8338
5,45,5,30,4,5029.948389311593,14.950006250000007,5014.998383061593,1329.2815272837386,17.147745937499998,1312.1337813462387,7.90588235294118e-05,25004
6,41,6,30,4,8366.674027456518,17.89015,8348.783877456519,2173.8613619633106,20.490465937500016,2153.3708960258105,9.317647058823533e-05,41680
7,40,7,30,4,10039.150046392508,20.967812500000004,10018.182233892505,2607.6016073320416,24.004409062500017,2583.5971982695414,0.0001082352941176471,50008
8,40,8,30,4,10046.301488015692,23.970550000000017,10022.33093801569,2626.4906756495184,27.45591468750001,2599.0347609620185,0.0001228235294117647,50008
9,37,9,30,4,10358.44066922221,26.87319375000002,10331.56747547221,2719.473052300329,30.767395312500003,2688.7056569878287,0.0001364705882352941,51556
10,34,10,30,4,10670.136373887664,29.850725000000008,10640.285648887664,2810.3486582619803,34.141292812500005,2776.20736544948,0.00015105882352941188,53104
11,33,11,30,4,12342.51609888706,32.878265625000004,12309.637833262059,3244.000068534473,37.58518218750001,3206.4148863469727,0.00016611764705882354,61442
12,32,12,30,4,12350.120856990317,35.86832500000003,12314.252531990318,3264.998176859878,40.99784250000001,3224.0003343598783,0.00018117647058823536,61452
13,30,13,30,4,12357.675558843577,38.808328125000024,12318.867230718577,3285.9262648727827,44.34048250000003,3241.585782372783,0.00019623529411764702,61472
14,30,14,30,4,12364.79620965517,41.826446875000016,12322.96976278017,3304.7810946565214,47.77653093750004,3257.0045637190215,0.00021176470588235295,61472
15,29,15,30,4,12676.327022966761,44.807103125,12631.519919841761,3395.12970569026,51.18136062500003,3343.94834506526,0.00022729411764705883,63000
16,28,16,30,4,14348.56984202896,47.73771250000003,14300.832129528959,3828.655783326506,54.516177812500025,3774.1396055140062,0.00024235294117647057,71338
17,29,17,30,4,14356.16266607002,50.75581250000001,14305.40685357002,3849.661009015665,57.952215937500036,3791.7087930781654,0.0002578823529411764,71338
18,29,18,30,4,14363.589985944414,53.73645000000004,14309.853535944416,3870.0933492881572,61.35703531250001,3808.7363139756576,0.0002734117647058823,71338
19,28,19,30,4,14369.942925610474,56.66704062500003,14313.275884985476,3886.1223437273165,64.69184218750001,3821.4305015398168,0.0002880000000000001,71348
20,26,20,30,4,14772.213110068205,59.63508437500003,14712.578025693205,3994.058215770642,68.05786,3926.0003557706423,0.0003025882352941178,72886
21,26,21,30,4,14869.259222351537,62.59375312500003,14806.665469226537,4027.211754416475,71.4160653125,3955.7956891039757,0.0003171764705882353,72886
22,24,22,30,4,14965.06025045987,65.45233750000003,14899.60791295987,4055.353270562309,74.63424812500001,3980.719022437309,0.00033035294117647054,72906
23,24,23,30,4,15060.934194393205,68.37646250000002,14992.557731893205,4083.552403895642,77.907048125,4005.645355770642,0.0003430588235294118,72916
24,24,24,30,4,15248.494388526537,71.29121250000001,15177.203176026536,4133.180724728975,81.17203562499999,4052.008689103975,0.00035623529411764717,72916
25,24,25,30,4,15436.06933305987,74.20596250000003,15361.86337055987,4182.815045562309,84.437023125,4098.378022437309,0.00036941176470588243,72916
26,24,26,30,4,15623.659027993202,77.12071250000002,15546.538315493202,4232.455366395641,87.70201062499997,4144.753355770641,0.0003825882352941175,72916
27,25,27,30,4,15811.263473326535,80.03546250000005,15731.228010826535,4282.101687228975,90.96699812499998,4191.134689103975,0.00039576470588235284,72916
28,23,28,30,4,15998.782584684868,82.85012812500005,15915.932456559869,4331.613985562308,94.09196312499999,4237.522022437308,0.00040800000000000005,72936
29,25,29,30,4,16186.432024568201,85.78037187500004,16100.651652693201,4381.256911083142,97.34155531249996,4283.915355770641,0.00042023529411764704,72936
30,24,30,30,4,16283.984997143201,88.62310625000008,16195.3618908932,4416.4122720206415,100.48991624999996,4315.922355770641,0.0004324705882352941,72946
31,24,31,30,4,16381.632835543202,91.55333125000008,16290.079504293202,4451.671853895642,103.73949812499995,4347.932355770642,0.0004456470588235294,72946
32,23,32,30,4,16479.200549143203,94.39605625000007,16384.804492893203,4486.8332070206425,106.88785124999994,4379.945355770642,0.0004578823529411765,72956
33,22,33,30,4,16576.7036410682,97.16678437500008,16479.5368566932,4521.880943895642,109.91958812499995,4411.9613557706425,0.0004696470588235295,72976
34,21,34,30,4,16583.487690484868,100.00305312500011,16483.484637359867,4539.34396462481,113.00594218749995,4426.338022437309,0.00048188235294117644,72986
35,20,35,30,4,18255.734323234865,102.82994687500012,18152.904376359867,4972.657506187309,116.08448374999995,4856.573022437309,0.0004941176470588234,81314
36,21,36,30,4,18263.243470338733,105.6568406250001,18157.586629713733,4993.348974865223,119.16302531249995,4874.185949552722,0.0005063529411764707,81314
37,20,37,30,4,18270.062371609263,108.4336968750001,18161.628674734264,5011.262100209802,122.17155687499992,4889.0905433348025,0.0005181176470588236,81324
38,20,38,30,4,18275.963031213127,111.18860312500009,18164.774428088127,5025.3369551377145,125.13348468749992,4900.203470450215,0.0005289411764705881,81334
39,19,39,30,4,20037.38744498366,113.9715968750001,19923.415848108656,5469.685882982294,128.11881874999992,5341.567064232295,0.0005392941176470588,89662
40,18,40,30,4,20134.799960808054,116.70455312500007,20018.095407683053,5504.595727942286,131.0341428124999,5373.561585129786,0.0005491764705882352,89672
41,17,41,30,4,20231.297104957448,118.51476250000013,20112.782342457453,5538.201756652279,132.64265062499987,5405.559106027279,0.0005505882352941177,89682
42,17,42,30,4,20327.839077431847,120.36242500000009,20207.476652431847,5571.841996299772,134.28236937499994,5437.559626924773,0.000552,89682
43,17,43,30,4,20424.388425106245,122.21008750000013,20302.17833760624,5605.485235947264,135.9220881249999,5469.563147822264,0.0005534117647058822,89682
44,17,44,30,4,20520.945147980638,124.05775000000007,20396.887397980638,5639.131475594756,137.56180687499992,5501.569668719756,0.0005548235294117647,89682
