,ActiveFires,Step,TotalDrones,TotalPlanes,TotalEmissions,DroneEmissions,PlaneEmissions,Cost,DroneCost,PlaneCost,TotalCoverage,TotalWater
0,50,0,30,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1,50,1,30,4,7.864940916666666,3.0014062499999996,4.863534666666667,21.13704166666667,3.450375000000002,17.686666666666667,1.6e-05,0
2,50,2,30,4,15.219121416666672,6.004218750000004,9.214902666666669,40.10858854166667,6.901921875000004,33.20666666666667,3.2e-05,0
3,48,3,30,4,1687.2269633750002,8.956984374999998,1678.2699790000001,471.61845625000007,10.28345625,461.33500000000004,4.75294117647059e-05,8338
4,46,4,30,4,3359.750638437198,11.947193749999995,3347.803444687198,905.3124595112463,13.696199062499996,891.6162604487463,6.305882352941177e-05,16676
5,45,5,30,4,3367.536809103259,14.937384375000006,3352.5994247282592,926.3843795754053,17.108931562499997,909.2754480129054,7.85882352941177e-05,16686
6,43,6,30,4,6704.780424560988,17.977603124999998,6686.802821435987,1772.7429684937313,20.591666250000014,1752.1513022437312,9.411764705882359e-05,33342
7,42,7,30,4,6711.693309351444,20.9303125,6690.762996851445,1790.5061803928825,23.973169687500015,1766.5330107053826,0.00010917647058823532,33352
8,40,8,30,4,8383.603429558567,23.920465625000016,8359.682963933568,2221.9922673962005,27.385881562500007,2194.6063858337006,0.00012423529411764706,41690
9,37,9,30,4,10360.567587036221,26.91060000000002,10333.656987036222,2727.6979378690985,30.798583125000004,2696.8993547440978,0.00013882352941176475,51556
10,36,10,30,4,10368.212376076677,29.90071562500001,10338.311660451678,2748.7123375807496,34.211274375,2714.5010632057492,0.00015435294117647068,51566
11,36,11,30,4,10375.138943242135,32.940859375,10342.198083867135,2766.5467394799007,37.69396781250002,2728.8527716674007,0.0001703529411764706,51566
12,35,12,30,4,10686.347631240924,35.94354062500004,10650.404090615924,2855.3332559623855,41.14544250000001,2814.1878134623853,0.00018635294117647062,53094
13,34,13,30,4,10998.702496865319,38.94622187500003,10959.756274990319,2948.992251547378,44.59691718750004,2904.395334359878,0.00020235294117647057,54622
14,35,14,30,4,11005.579206781984,41.948903125000015,10963.630303656984,2966.7903929015442,48.048391875000036,2918.742001026544,0.0002183529411764706,54622
15,34,15,30,4,12677.927875031985,44.951584375,12632.976290656985,3400.446867589044,51.49986656250004,3348.947001026544,0.00023388235294117643,62950
