,ActiveFires,Step,TotalDrones,TotalEmissions,AvgPayloadFactor,Cost,TotalWater
0,50,0,40,0.0,0.0,0.0,0
1,49,1,40,3.9518281249999982,0.0655468749999999,4.530487500000001,10
2,49,2,40,7.993021875000007,0.003109375000000002,9.163758437500006,10
3,48,3,40,11.946706250000002,0.06553124999999992,13.695798125000001,20
4,48,4,40,15.987881249999992,0.003093750000000002,18.32905875,20
5,46,5,40,21.266900000000014,0.12793749999999987,24.81799387500002,40
6,46,6,40,25.3455,0.003062500000000002,29.482452625000025,40
7,45,7,40,29.29912812499999,0.06548437499999986,34.01446137500001,50
8,45,8,40,33.34024687500003,0.003046875000000002,38.64769106249999,50
9,45,9,40,37.34390312500001,0.003046875000000002,43.24970200000004,50
10,43,10,40,41.24746562500004,0.12789062499999987,47.71168793750004,70
11,41,11,40,45.17586875000004,0.1902812499999999,52.16607825000004,100
12,42,12,40,49.241771875000055,0.06539062499999995,56.79168137500004,110
13,40,13,40,53.182684375000036,0.12779687499999998,61.28482418750006,130
14,40,14,40,57.26111562500002,0.0029218750000000017,65.94919012500004,130
15,40,15,40,65.51676250000003,0.0029218750000000017,76.70904731250006,130
16,40,16,40,69.52026875000004,0.0029218750000000017,81.31097575000008,130
17,40,17,40,78.87644687500006,0.06534374999999999,93.70490543750005,140
18,39,18,40,82.86735000000009,0.06532812499999993,98.26802981250005,150
19,39,19,40,86.90828125000007,0.0028906250000000017,102.90115637500007,150
20,37,20,40,96.5645781250001,0.12773437499999993,115.67608981250007,170
21,35,21,40,100.54285000000006,0.11209375000000003,120.20039200000005,190
22,34,22,40,104.56175625000007,0.06524999999999992,124.78687887500006,200
23,32,23,40,108.50251875000005,0.0964375,129.27993387500007,220
24,31,24,40,112.51200312500006,0.06520312499999995,133.85858512500008,230
25,30,25,40,116.50274687500007,0.049578125,138.42161918750008,240
26,28,26,40,120.4340687500001,0.09637499999999996,142.9068282500001,260
27,30,27,40,124.49352500000006,0.0027187500000000015,147.5554507500001,260
28,31,28,40,128.49678750000007,0.0027187500000000015,152.15724512500012,260
29,31,29,40,132.50005000000007,0.0027187500000000015,156.75903950000006,260
30,31,30,40,145.42548750000006,0.06514062499999998,174.22676487500016,270
31,30,31,40,149.41614687500012,0.0651249999999999,178.78975518750008,280
32,27,32,40,153.3067125000001,0.15873437500000004,183.2127151875001,310
33,27,33,40,167.0584906250002,0.0026406250000000015,201.80887237500005,310
34,26,34,40,175.16377187500015,0.033843750000000006,212.3549364375002,320
35,24,35,40,179.0855687500002,0.11185937499999998,216.8322558125001,340
36,23,36,40,183.1042031250001,0.04940625,221.41859050000014,350
37,22,37,40,187.08534687500017,0.065,225.97369362500012,360
38,22,38,40,191.07585625000024,0.033765625,230.5365961250002,370
39,21,39,40,194.99755937500015,0.11178124999999994,235.01386393750005,390
40,19,40,40,198.96608125000017,0.064921875,239.53014206250018,410
41,17,41,40,202.90645000000015,0.09610937499999997,244.02298050000005,430
42,17,42,40,206.96558750000023,0.0024531250000000013,248.67142768750014,430
43,17,43,40,236.53020625000016,0.0024531250000000013,290.0832997500001,430
44,18,44,40,292.7011156250002,0.0024531250000000013,369.80550381250015,430
45,18,45,40,296.70405937500016,0.0024531250000000013,374.40712287500037,430
46,17,46,40,314.7642156250003,0.04926562500000001,399.30045256250014,440
47,16,47,40,375.29823750000037,0.12732812500000001,484.71260262500044,450
48,15,48,40,379.87634375000033,0.033656250000000006,490.14868793750037,460
49,15,49,40,413.06101875000013,0.0024375000000000013,536.7476886875003,460
