,ActiveFires,Step,TotalDrones,TotalEmissions,AvgPayloadFactor,Cost,TotalWater
0,50,0,40,0.0,0.0,0.0,0
1,50,1,40,4.001874999999998,0.0031250000000000015,4.600500000000001,0
2,50,2,40,8.005625000000007,0.0031250000000000015,9.202562500000006,0
3,49,3,40,11.959328125000003,0.06554687499999994,13.7346125,10
4,49,4,40,16.000521874999993,0.003109375000000002,18.3678834375,10
5,49,5,40,20.004253125000012,0.003109375000000002,22.969935625000012,10
6,48,6,40,23.9579375,0.06553124999999985,27.501975312500026,20
7,47,7,40,27.949065624999996,0.06551562499999986,32.065223437500016,30
8,45,8,40,31.890137500000037,0.11231249999999988,36.55845124999999,50
9,45,9,40,35.959353125000014,0.003046875000000002,41.215095000000034,50
10,45,10,40,39.96300937500004,0.003046875000000002,45.81710593750004,50
11,42,11,40,43.816525000000034,0.19031249999999986,50.209079375000044,80
12,40,12,40,47.83241875000006,0.1278437499999999,54.76469062500004,100
13,41,13,40,51.910906250000046,0.0029687500000000018,59.429087500000065,100
14,41,14,40,55.86442187500002,0.06539062499999997,63.96103437500005,110
15,41,15,40,59.85539062500001,0.04976562500000002,68.52419218750006,120
16,39,16,40,63.78692812500001,0.11217187499999988,73.00952250000005,140
17,39,17,40,67.855975,0.0029062500000000017,77.66607343750005,140
18,38,18,40,71.80942500000009,0.04971875000000003,82.19798156250003,150
19,38,19,40,75.7909437500001,0.06531249999999993,86.75329093750003,160
20,38,20,40,79.78180937500007,0.06529687499999995,91.31639468750002,170
21,36,21,40,83.72261875000005,0.11209374999999999,95.809478125,190
22,37,22,40,87.79157187500005,0.0028281250000000016,100.4659775,190
23,37,23,40,91.74491875000002,0.0652499999999999,104.9978315625,200
24,37,24,40,95.78575625000002,0.0028125000000000016,109.63090656250002,200
25,36,25,40,99.68904687500002,0.11204687499999996,114.09274031249998,220
26,34,26,40,103.65785937500003,0.11201562499999991,118.60918624999996,240
27,34,27,40,107.72671875000003,0.0027500000000000016,123.26563406249997,240
28,34,28,40,111.67997187500002,0.06517187499999996,127.79743656249997,250
29,34,29,40,115.72071562500001,0.0027343750000000016,132.43045999999995,250
30,32,30,40,119.62391250000007,0.11196874999999992,136.8922421875,270
31,31,31,40,123.64267812500013,0.04951562500000002,141.47864906249993,280
32,29,32,40,127.57393437500015,0.08070312499999997,145.96381937499996,300
33,28,33,40,131.52387500000012,0.09628125000000001,150.46457593749994,320
34,26,34,40,135.48316250000013,0.06503124999999996,154.97312156249995,340
35,27,35,40,139.52373750000012,0.0025937500000000014,159.6060521874999,340
36,27,36,40,143.52685000000008,0.0025937500000000014,164.20776406249996,340
37,26,37,40,147.4298687500001,0.12743749999999998,168.66945093749985,360
38,26,38,40,151.5078687500001,0.0025625000000000014,173.3335796875,360
39,24,39,40,155.4108500000001,0.12740625,177.79524593749989,380
40,25,40,40,159.48881250000014,0.0025312500000000014,182.45935406249987,380
41,24,41,40,163.44181250000008,0.049343750000000006,186.9910146874999,390
42,24,42,40,167.97286250000013,0.15865625,191.4943715625,390
43,24,43,40,172.06959375000002,0.0025625000000000014,196.17410968749985,390
44,24,44,40,176.02262187500014,0.0025625000000000014,200.7057884375,390
45,24,45,40,180.02569687500005,0.0025625000000000014,205.30747968749986,390
46,24,46,40,197.80249375000017,0.0025625000000000014,229.74006843749999,390
47,24,47,40,229.9227625,0.0025625000000000014,274.8217156874999,390
48,25,48,40,234.0257531250001,0.08062499999999993,279.28948443750005,390
49,26,49,40,252.53312812500005,0.0025781250000000014,304.74296693749994,390
50,27,50,40,286.3422968750002,0.0025781250000000014,352.25172375,390
51,27,51,40,305.40315625000005,0.0025781250000000014,378.5282315624999,390
52,27,52,40,387.0979156250001,0.0025781250000000014,495.0080828750002,390
53,27,53,40,454.2835875000003,0.0025781250000000014,590.5992406875002,390
54,27,54,40,522.7508156250001,0.0025781250000000014,687.9806475000003,390
