,ActiveFires,Step,TotalDrones,TotalEmissions,AvgPayloadFactor,Cost,TotalWater
0,50,0,40,0.0,0.0,0.0,0
1,49,1,40,3.9518281249999982,0.065546875,4.530487500000001,10
2,49,2,40,7.993021875000008,0.003109375000000002,9.163758437500006,10
3,49,3,40,11.996753125000001,0.003109375000000002,13.765810625000002,10
4,47,4,40,15.900390624999993,0.12795312499999983,18.227837812500002,30
5,47,5,40,19.979009375000008,0.003078125000000002,22.892306875000006,30
6,47,6,40,23.982703124999997,0.003078125000000002,27.494338437500023,30
7,45,7,40,27.886303124999994,0.1279218749999999,31.95634500000002,50
8,45,8,40,31.964884375000032,0.003046875000000002,36.6207934375,50
9,42,9,40,35.81840000000002,0.1903124999999999,41.012766875000025,80
10,42,10,40,39.88434062500003,0.003000000000000002,45.63839062500003,80
11,42,11,40,43.787856250000026,0.049812499999999996,50.10034812500003,90
12,41,12,40,47.71945000000004,0.11221874999999995,54.58570937500003,110
13,40,13,40,51.688459375000036,0.06537499999999997,59.102266250000056,120
14,38,14,40,55.57930625000002,0.12778124999999996,63.525386250000054,140
15,35,15,40,59.45754062500001,0.23698437499999997,67.90969437500004,180
16,34,16,40,63.55139062500001,0.0652656249999999,72.55862906250005,190
17,34,17,40,67.54220000000001,0.0028281250000000016,77.12170187500004,190
18,33,18,40,71.64550937500006,0.14331249999999993,81.58964593750002,200
19,33,19,40,75.68314687500005,0.0028281250000000016,86.19174218750001,200
20,30,20,40,79.48637187500006,0.15887500000000004,90.51356375000003,230
21,29,21,40,83.48327187500003,0.065203125,95.05342125000001,240
22,28,22,40,87.42395937500005,0.06518749999999995,99.54644031250001,250
23,28,23,40,91.41467500000005,0.0027500000000000016,104.10946156249999,250
24,29,24,40,95.36792812500002,0.0027500000000000016,108.64126406250001,250
25,30,25,40,99.32118125000002,0.0027500000000000016,113.17306656250001,250
26,28,26,40,103.17434062500006,0.12759374999999998,117.56484406249997,270
27,28,27,40,107.20248125000008,0.0027187500000000015,122.15906343749998,270
