,ActiveFires,Step,TotalDrones,TotalEmissions,AvgPayloadFactor,Cost,TotalWater
0,50,0,40,0.0,0.0,0.0,0
1,50,1,40,4.001874999999998,0.0031250000000000015,4.600500000000001,0
2,50,2,40,8.005625000000007,0.0031250000000000015,9.202562500000006,0
3,49,3,40,11.959328125000003,0.06554687499999987,13.7346125,10
4,48,4,40,15.950474999999992,0.06553124999999997,18.297870937500004,20
5,47,5,40,19.94160312500001,0.06551562499999995,22.86111906250001,30
6,46,6,40,23.9327125,0.06549999999999993,27.424356875000022,40
7,45,7,40,27.923803124999996,0.06548437499999984,31.987584375000022,50
8,43,8,40,31.86482812500003,0.12789062499999995,36.480789062499994,70
9,42,9,40,35.89332500000001,0.06543749999999997,41.075204375000034,80
10,42,10,40,39.934387500000035,0.003000000000000002,45.708403125000025,80
11,42,11,40,43.88794062500003,0.06542187499999999,50.24037062500003,90
12,42,12,40,47.87893750000004,0.06540624999999996,54.80354656250003,100
13,38,13,40,51.71977500000004,0.25265625,59.156674687500065,140
14,38,14,40,55.82306562500002,0.06532812499999988,63.813455312500054,150
15,36,15,40,59.71387500000001,0.1589374999999999,68.23654937500005,180
16,35,16,40,63.76090625000002,0.04965625,72.84646312500004,190
17,35,17,40,67.792396875,0.0028281250000000016,77.47174375000003,190
18,35,18,40,71.79579062500008,0.0028281250000000016,82.07361031250002,190
19,36,19,40,75.69909062500005,0.12767187499999996,86.53545187500002,210
20,35,20,40,79.72732500000005,0.06521874999999992,91.1297228125,220
21,34,21,40,83.71809687500003,0.033984375000000004,95.6927696875,230
22,34,22,40,87.74014687500004,0.0027656250000000016,100.31020437499998,230
23,32,23,40,91.64339062500004,0.096390625,104.77200968750002,250
24,33,24,40,95.65282812500004,0.04954687500000001,109.3506325,260
25,34,25,40,99.68418750000001,0.0027187500000000015,113.97584093750001,260
26,30,26,40,103.48729062500004,0.205578125,118.29759281249999,300
27,30,27,40,107.61223125000006,0.0026562500000000015,123.00080687499998,300
28,30,28,40,111.56538125000004,0.049468750000000006,127.53254999999999,310
29,27,29,40,115.44653437500001,0.14307812500000003,131.94767687499998,340
30,27,30,40,119.53393750000006,0.0025937500000000014,136.6196309375,340
31,24,31,40,123.38695625000014,0.11181250000000001,141.01131781249993,370
32,23,32,40,127.40552500000014,0.06496874999999996,145.59761906249997,380
33,23,33,40,131.44602500000013,0.0025312500000000014,150.23050843749994,380
34,20,34,40,135.29896875000009,0.11174999999999997,154.62215406249996,410
35,20,35,40,139.3675093750001,0.0024843750000000013,159.27842656249993,410
36,19,36,40,143.32047187500012,0.018078125,163.81006125,420
37,18,37,40,148.0327531250001,0.12739062499999995,168.30388281249986,430
38,18,38,40,152.1106968750001,0.0025156250000000014,172.967980625,430
39,17,39,40,156.01362187500013,0.06493749999999997,177.4296159374999,440
40,17,40,40,160.05408437500014,0.0025000000000000014,182.06248468749996,440
41,17,41,40,164.0570843750001,0.0025000000000000014,186.66413468749988,440
42,17,42,40,168.0600843750001,0.0025000000000000014,191.26578468749992,440
43,18,43,40,172.06308437500005,0.0025000000000000014,195.86743468749992,440
44,18,44,40,189.1468593750001,0.0025000000000000014,219.30492143749998,440
45,18,45,40,206.685215625,0.0025000000000000014,243.3951649374999,440
46,18,46,40,237.80218437500017,0.0025000000000000014,287.03618368750006,440
47,18,47,40,283.5928437500002,0.0025000000000000014,351.8004550625001,440
48,18,48,40,330.2842531250003,0.0025000000000000014,417.85820343750026,440
49,19,49,40,407.38061562500013,0.0025000000000000014,527.6811193125002,440
50,19,50,40,441.02256250000033,0.0025000000000000014,574.9479956875006,440
51,19,51,40,491.06699062500047,0.0025000000000000014,645.8206570625006,440
52,20,52,40,556.9346218750003,0.0025000000000000014,739.4672929375002,440
53,20,53,40,640.0016093750002,0.0025000000000000014,857.8640263125004,440
54,20,54,40,708.6050500000005,0.0025000000000000014,955.4911611875006,440
