,ActiveFires,Step,TotalDrones,TotalEmissions,AvgPayloadFactor,Cost,TotalWater
0,50,0,40,0.0,0.0,0.0,0
1,50,1,40,4.001874999999998,0.0031250000000000015,4.600500000000001,0
2,50,2,40,8.005625000000007,0.0031250000000000015,9.202562500000006,0
3,50,3,40,12.009375000000002,0.0031250000000000015,13.804625000000001,0
4,50,4,40,15.963078124999992,0.0031250000000000015,18.336675000000003,0
5,48,5,40,19.81668750000001,0.12796874999999988,22.72870000000001,20
6,48,6,40,23.845278125,0.003093750000000002,27.323166875000023,20
7,48,7,40,27.848990624999992,0.003093750000000002,31.92520875000002,20
8,48,8,40,31.852703125000033,0.003093750000000002,36.52725062499999,20
9,47,9,40,35.80636875000001,0.0655156249999999,41.05928000000002,30
10,47,10,40,39.84752500000004,0.003078125000000002,45.69253031250003,30
11,46,11,40,43.75112500000003,0.1279218749999999,50.15453687500004,50
12,42,12,40,47.629518750000045,0.2527343749999999,54.53893531250004,90
13,42,13,40,51.78295000000004,0.002984375000000002,59.26578000000007,90
14,42,14,40,55.786531250000024,0.002984375000000002,63.867749687500044,90
15,41,15,40,59.740065625000014,0.06540624999999996,68.39970687500005,100
16,42,16,40,63.78109062500001,0.0029687500000000018,73.03288500000005,100
17,41,17,40,67.73460625,0.06539062499999997,77.56483187500005,110
18,41,18,40,71.77561250000008,0.0029531250000000018,82.19799968750003,110
19,39,19,40,75.67907187500008,0.11218749999999995,86.65992625000003,130
20,38,20,40,79.69810000000007,0.04973437500000001,91.24647750000003,140
21,38,21,40,89.78276250000008,0.0029062500000000017,104.61588468750004,140
22,39,22,40,93.78625000000007,0.0029062500000000017,109.2178028125,140
23,38,23,40,98.28996562500004,0.04971875000000002,114.5917471875,150
24,37,24,40,102.27148437500001,0.06531249999999987,119.14705656250001,160
25,34,25,40,106.71253125000003,0.17453124999999994,124.4121740625,190
26,32,26,40,110.66880625000003,0.12767187499999996,128.8898546875,210
27,29,27,40,114.59695625000005,0.17445312500000001,133.344103125,240
28,28,28,40,118.65325000000004,0.033953125000000015,137.9617621875,250
29,25,29,40,122.52514062500003,0.15878124999999996,142.36914375,280
30,24,30,40,126.57198437500006,0.049500000000000016,146.97895437500003,290
31,22,31,40,130.50319375000015,0.12751562500000002,151.464106875,310
32,23,32,40,134.58128750000012,0.0026406250000000015,156.1282871875,310
33,23,33,40,138.53440937500017,0.06506249999999994,160.66001749999992,320
34,21,34,40,142.47494687500011,0.09624999999999997,165.15294875000004,340
35,19,35,40,146.43416875000014,0.11182812500000003,169.66146625,360
36,19,36,40,150.45277500000006,0.03376562500000001,174.2477828125,370
37,18,37,40,154.42451562500008,0.06496874999999996,178.79506062499996,380
38,16,38,40,158.36494062500006,0.09615624999999997,183.28793000000005,400
39,15,39,40,162.37409687500013,0.04931250000000002,187.8663981249999,410
40,15,40,40,166.75514687500015,0.08056249999999995,192.433644375,410
41,14,41,40,170.90490937500013,0.143,196.94040562499995,420
42,14,42,40,174.99221875000018,0.0025156250000000014,201.612308125,420
43,14,43,40,191.77613750000012,0.0025156250000000014,224.61918468749994,420
44,14,44,40,208.8604937500002,0.0025156250000000014,248.05748950000006,420
45,14,45,40,226.3370156250001,0.0025156250000000014,272.05893318750003,420
46,14,46,40,230.34003437500013,0.0025156250000000014,276.66059350000006,420
47,14,47,40,262.28147812500015,0.08057812499999999,321.2081294375,420
48,14,48,40,323.4884218750002,0.0025312500000000014,408.1337521250002,420
49,14,49,40,327.4414125000001,0.0025312500000000014,412.6654102500003,420
50,14,50,40,346.4196406250001,0.0025312500000000014,438.8232875000001,420
51,14,51,40,380.8784562500003,0.0025312500000000014,487.26313225000007,420
52,14,52,40,462.72681562500026,0.0025312500000000014,603.9098933750005,420
53,13,53,40,545.7149000000002,0.04934375000000001,722.1951653750003,430
54,13,54,40,614.3459437500002,0.0025156250000000014,819.8449667500007,430
