,ActiveFires,Step,TotalDrones,TotalEmissions,AvgPayloadFactor,Cost,TotalWater
0,50,0,40,0.0,0.0,0.0,0
1,50,1,40,4.001874999999998,0.0031250000000000015,4.600500000000001,0
2,50,2,40,8.005625000000007,0.0031250000000000015,9.202562500000006,0
3,50,3,40,12.009375000000002,0.0031250000000000015,13.804625000000001,0
4,50,4,40,16.01312499999999,0.0031250000000000015,18.406687500000004,0
5,49,5,40,19.966828125000013,0.06554687499999992,22.938737500000013,10
6,49,6,40,24.008021874999997,0.003109375000000002,27.572008437500028,10
7,48,7,40,27.961706249999995,0.06553124999999996,32.10404812500002,20
8,47,8,40,34.228671875000025,0.06551562499999984,39.987242749999986,30
9,46,9,40,38.21978125000001,0.06549999999999992,44.55048056250005,40
10,45,10,40,42.761084375000046,0.06548437499999997,49.955657062500045,50
11,44,11,40,46.702109375000035,0.12789062499999987,54.44886175000004,70
12,45,12,40,54.13232500000008,0.003015625000000002,63.97814518750006,70
13,44,13,40,58.085896875000046,0.06543749999999993,68.51012300000006,80
14,43,14,40,62.076912500000034,0.06542187499999999,73.07330925000008,90
15,42,15,40,66.01786250000002,0.12782812499999996,77.56647268750005,110
16,42,16,40,70.04628437500004,0.06537499999999992,82.16084675000006,120
17,40,17,40,73.93714062500003,0.17459375,86.58396925000005,150
18,36,18,40,77.8434625000001,0.22135937500000016,90.99168362500005,190
19,36,19,40,81.97797500000006,0.0028281250000000016,95.70281581250005,190
20,36,20,40,85.98136875000007,0.0028281250000000016,100.30468237500003,190
21,35,21,40,89.93471562500004,0.06524999999999996,104.8365364375,200
22,32,22,40,93.82541250000007,0.19007812499999996,109.25957393750001,230
23,30,23,40,97.84102500000004,0.12760937499999997,113.81503049999998,250
24,31,24,40,101.91923125000005,0.0027343750000000016,118.4792726875,250
25,30,25,40,105.87247500000002,0.049546875000000004,123.011067375,260
26,28,26,40,109.75371250000005,0.158765625,127.42624331250002,290
27,26,27,40,113.70045312500005,0.15871875000000002,131.896021125,320
28,26,28,40,117.79725937500007,0.0026250000000000015,136.57580049999999,320
29,23,29,40,121.65031562500003,0.11184375000000002,140.96750799999998,350
30,24,30,40,125.71896875000007,0.0025781250000000014,145.62384237500004,350
31,23,31,40,129.67203437500012,0.03378125,150.15553643749996,360
32,23,32,40,133.69384062500012,0.0025625000000000014,154.77283706250003,360
33,23,33,40,137.69691562500012,0.0025625000000000014,159.37452831249993,360
34,22,34,40,141.6499531250001,0.04937500000000001,163.90620956250004,370
35,22,35,40,155.93637187500016,0.0025468750000000014,183.30972081249996,370
36,20,36,40,159.8393625000001,0.08056249999999995,187.77138425000004,390
37,20,37,40,164.43947500000013,0.0025156250000000014,193.25410424999998,390
38,19,38,40,168.39245625000012,0.049328125000000014,197.78575456250007,400
39,18,39,40,172.37350625000013,0.06492187499999996,202.34080612499992,410
40,18,40,40,176.41395000000017,0.0024843750000000013,206.97366456250003,410
41,18,41,40,180.41693125000015,0.0024843750000000013,211.57530424999993,410
42,18,42,40,184.4199125000002,0.0024843750000000013,216.17694393750006,410
43,18,43,40,188.42289375000013,0.0024843750000000013,220.77858362499998,410
44,18,44,40,192.42587500000013,0.0024843750000000013,225.38022331250005,410
45,18,45,40,223.3763000000001,0.0024843750000000013,268.782058,410
46,17,46,40,254.7226062500002,0.06490624999999997,312.75424393750006,420
47,17,47,40,258.76303125000015,0.0024687500000000013,317.3870920625,420
48,18,48,40,292.30506250000025,0.0024687500000000013,364.6141995625001,420
49,18,49,40,369.3701781250003,0.0024687500000000013,474.3922671875004,420
50,18,50,40,388.8050250000003,0.0024687500000000013,501.2577811875002,420
51,18,51,40,438.10513750000035,0.0024687500000000013,571.0616714375003,420
52,18,52,40,504.37492500000036,0.0024687500000000013,665.2857930625004,420
53,18,53,40,587.0081187500002,0.0024687500000000013,783.0596756875007,420
54,18,54,40,672.0332406250006,0.0024687500000000013,904.3201780625003,420
55,18,55,40,708.6769625000003,0.0024687500000000013,955.8976365625008,420
56,18,56,40,746.0446312500004,0.0024687500000000013,1008.5146718125005,420
57,17,57,40,783.8384000000007,0.06489062499999995,1061.7454524375007,430
58,17,58,40,805.0376656250003,0.0024531250000000013,1091.070267125001,430
59,16,59,40,827.8734062500005,0.142984375,1121.6987469375006,440
60,16,60,40,831.960696875,0.0025000000000000014,1126.370639125001,440
61,16,61,40,851.2200343750001,0.0025000000000000014,1152.9322336250007,440
62,16,62,40,855.2230343750001,0.0025000000000000014,1157.5338836250007,440
63,17,63,40,859.2260343749999,0.0025000000000000014,1162.135533625001,440
64,17,64,40,863.229034375,0.0025000000000000014,1166.737183625001,440
65,16,65,40,867.1820062500001,0.033703125,1171.2688261250005,450
66,16,66,40,871.2037187500001,0.0024843750000000013,1175.886075187501,450
67,15,67,40,875.1566624999999,0.049296875,1180.4177048750005,460
68,15,68,40,879.1877218749999,0.0024687500000000013,1185.0427483125009,460
69,15,69,40,883.1906843749995,0.0024687500000000013,1189.6443776875008,460
70,15,70,40,887.1936468749998,0.0024687500000000013,1194.2460070625007,460
71,14,71,40,891.0965531249997,0.06487499999999999,1198.707621437501,480
72,13,72,40,912.9961937499994,0.0960625,1229.041878937501,500
73,13,73,40,917.0552749999999,0.0024062500000000013,1233.690295187501,500
74,12,74,40,921.0081343749996,0.033609375000000004,1238.221875812501,510
75,11,75,40,924.9796874999996,0.06481250000000001,1242.7690505000007,520
76,11,76,40,929.0199999999993,0.0023750000000000012,1247.4018367500007,520
77,11,77,40,933.0228499999992,0.0023750000000000012,1252.003404250001,520
