,ActiveFires,Step,TotalDrones,TotalEmissions,AvgPayloadFactor,Cost,TotalWater
0,50,0,40,0.0,0.0,0.0,0
1,50,1,40,4.001874999999998,0.0031250000000000015,4.600500000000001,0
2,49,2,40,7.955578125000008,0.06554687499999985,9.132550000000007,10
3,48,3,40,11.946725000000002,0.06553124999999985,13.695808437500002,20
4,47,4,40,15.937853124999991,0.06551562499999983,18.259056562500003,30
5,45,5,40,19.878915625000012,0.12792187499999993,22.75228187500001,50
6,43,6,40,25.408137500000006,0.127890625,29.555414687500026,70
7,42,7,40,29.436634375,0.06543749999999998,34.14983000000002,80
8,42,8,40,34.02796250000003,0.003000000000000002,39.625065,80
9,41,9,40,37.98152500000002,0.04981250000000002,44.157035000000036,90
10,41,10,40,41.96315625000003,0.06540624999999994,48.712406250000036,100
11,40,11,40,45.95413437500004,0.06539062499999986,53.27557187500004,110
12,42,12,40,49.945103125000045,0.049765625,57.83872968750003,120
13,40,13,40,53.87664062500005,0.11217187499999996,62.32406000000006,140
14,39,14,40,57.89564062500002,0.06532812499999999,66.91059843750006,150
15,41,15,40,61.936571875000006,0.0028906250000000017,71.54372500000005,150
16,41,16,40,65.83995625000003,0.11212499999999999,76.00561031250002,170
17,39,17,40,69.80885312500003,0.127703125,80.52210531250005,190
18,39,18,40,73.88717187500008,0.0028281250000000016,85.18640937500004,190
19,38,19,40,77.84052812500008,0.049640625,89.71826593750002,200
20,36,20,40,81.77192500000005,0.09643749999999997,94.20351625000004,220
21,36,21,40,85.83145625000006,0.0027812500000000016,98.85218,220
22,35,22,40,89.78476562500005,0.03398437500000002,103.384008125,230
23,36,23,40,93.80681562500004,0.0027656250000000016,108.0014428125,230
24,34,24,40,97.710059375,0.09639062499999998,112.46324812499998,250
25,34,25,40,101.769534375,0.0027343750000000016,117.11188093749998,250
26,30,26,40,105.57268437500004,0.15876562500000002,121.43365062499997,290
27,29,27,40,117.59809687500004,0.04948437500000001,137.55254643749998,300
28,27,28,40,121.52932500000001,0.0650625,142.03769862500002,320
29,27,29,40,126.12015000000001,0.0026250000000000015,147.51259887499995,320
30,27,30,40,130.12330000000006,0.0026250000000000015,152.11433137499998,320
31,25,31,40,134.02635625000013,0.12746875,156.57603887499997,340
32,23,32,40,138.00431875000007,0.09621874999999995,161.10016824999997,360
33,23,33,40,142.01354062500013,0.06498437499999998,165.67867512499996,370
34,24,34,40,146.05405937500007,0.0025468750000000014,170.31157481249997,370
35,22,35,40,149.95705000000007,0.0805625,174.7732382499999,390
36,22,36,40,154.00689687500005,0.0025156250000000014,179.413922,390
37,22,37,40,158.75990625000009,0.08062499999999992,183.9699798124999,390
38,21,38,40,173.9155343750001,0.033781250000000006,204.6121866875,400
39,20,39,40,177.88729375000014,0.06498437499999994,209.15947481249992,410
40,20,40,40,182.67780312500017,0.08065624999999994,213.746772,410
41,20,41,40,186.72776250000004,0.0026093750000000015,218.3875176249999,410
42,20,42,40,190.7308937500001,0.0026093750000000015,222.98923981250007,410
43,20,43,40,207.51417500000005,0.0026093750000000015,245.9951012499999,410
44,20,44,40,224.59848750000012,0.0026093750000000015,269.4332435625,410
45,20,45,40,242.53310625000003,0.0026093750000000015,294.14426950000006,410
46,20,46,40,260.45942187500015,0.08067187499999999,318.5122611875,410
47,20,47,40,278.583715625,0.0026250000000000015,343.41556725000004,410
48,21,48,40,296.74416250000013,0.0026250000000000015,368.3990328750001,410
49,20,49,40,330.1682062499999,0.04943750000000001,415.3546565000003,420
50,21,50,40,349.0813343749999,0.0026093750000000015,441.40204500000016,420
51,19,51,40,383.5655250000001,0.08062499999999997,489.88195481250017,440
52,20,52,40,434.18554062500016,0.0025781250000000014,561.5528440625002,440
53,19,53,40,501.4845312500002,0.03378125000000001,657.2566837500003,450
54,19,54,40,569.4628781250001,0.0025625000000000014,753.9229850000005,450
55,18,55,40,638.9997093750004,0.01815625,852.8922352500006,460
